CMSA99,,PMSA99,,,,STATE,COUNTY,,CENTRALC,,,,msaLABEL
40,,,,,,,,,,,,,"Abilene, TX MSA"
40,,,,,,48,441,,1,,,,Taylor County
,,,,,,,,,,,,,
60,,,,,,,,,,,,,"Aguadilla, PR MSA"
60,,,,,,72,3,,1,,,,Aguada Municipio
60,,,,,,72,5,,1,,,,Aguadilla Municipio
60,,,,,,72,99,,2,,,,Moca Municipio
,,,,,,,,,,,,,
120,,,,,,,,,,,,,"Albany, GA MSA"
120,,,,,,13,95,,1,,,,Dougherty County
120,,,,,,13,177,,2,,,,Lee County
,,,,,,,,,,,,,
160,,,,,,,,,,,,,"Albany-Schenectady-Troy, NY MSA"
160,,,,,,36,1,,1,,,,Albany County
160,,,,,,36,57,,2,,,,Montgomery County
160,,,,,,36,83,,1,,,,Rensselaer County
160,,,,,,36,91,,2,,,,Saratoga County
160,,,,,,36,93,,1,,,,Schenectady County
160,,,,,,36,95,,2,,,,Schoharie County
,,,,,,,,,,,,,
200,,,,,,,,,,,,,"Albuquerque, NM MSA"
200,,,,,,35,1,,1,,,,Bernalillo County
200,,,,,,35,43,,1,,,,Sandoval County
200,,,,,,35,61,,2,,,,Valencia County
,,,,,,,,,,,,,
220,,,,,,,,,,,,,"Alexandria, LA MSA"
220,,,,,,22,79,,1,,,,Rapides Parish
,,,,,,,,,,,,,
240,,,,,,,,,,,,,"Allentown-Bethlehem-Easton, PA MSA"
240,,,,,,42,25,,2,,,,Carbon County
240,,,,,,42,77,,1,,,,Lehigh County
240,,,,,,42,95,,1,,,,Northampton County
,,,,,,,,,,,,,
280,,,,,,,,,,,,,"Altoona, PA MSA"
280,,,,,,42,13,,1,,,,Blair County
,,,,,,,,,,,,,
320,,,,,,,,,,,,,"Amarillo, TX MSA"
320,,,,,,48,375,,1,,,,Potter County
320,,,,,,48,381,,1,,,,Randall County
,,,,,,,,,,,,,
380,,,,,,,,,,,,,"Anchorage, AK MSA"
380,,,,,,2,20,,1,,,,Anchorage Borough
,,,,,,,,,,,,,
450,,,,,,,,,,,,,"Anniston, AL MSA"
450,,,,,,1,15,,1,,,,Calhoun County
,,,,,,,,,,,,,
460,,,,,,,,,,,,,"Appleton-Oshkosh-Neenah, WI MSA"
460,,,,,,55,15,,2,,,,Calumet County
460,,,,,,55,87,,1,,,,Outagamie County
460,,,,,,55,139,,1,,,,Winnebago County
,,,,,,,,,,,,,
480,,,,,,,,,,,,,"Asheville, NC MSA"
480,,,,,,37,21,,1,,,,Buncombe County
480,,,,,,37,115,,2,,,,Madison County
,,,,,,,,,,,,,
500,,,,,,,,,,,,,"Athens, GA MSA"
500,,,,,,13,59,,1,,,,Clarke County
500,,,,,,13,195,,2,,,,Madison County
500,,,,,,13,219,,2,,,,Oconee County
,,,,,,,,,,,,,
520,,,,,,,,,,,,,"Atlanta, GA MSA"
520,,,,,,13,13,,2,,,,Barrow County
520,,,,,,13,15,,2,,,,Bartow County
520,,,,,,13,45,,2,,,,Carroll County
520,,,,,,13,57,,2,,,,Cherokee County
520,,,,,,13,63,,1,,,,Clayton County
520,,,,,,13,67,,1,,,,Cobb County
520,,,,,,13,77,,2,,,,Coweta County
520,,,,,,13,89,,1,,,,DeKalb County
520,,,,,,13,97,,1,,,,Douglas County
520,,,,,,13,113,,2,,,,Fayette County
520,,,,,,13,117,,2,,,,Forsyth County
520,,,,,,13,121,,1,,,,Fulton County
520,,,,,,13,135,,1,,,,Gwinnett County
520,,,,,,13,151,,2,,,,Henry County
520,,,,,,13,217,,2,,,,Newton County
520,,,,,,13,223,,2,,,,Paulding County
520,,,,,,13,227,,2,,,,Pickens County
520,,,,,,13,247,,2,,,,Rockdale County
520,,,,,,13,255,,2,,,,Spalding County
520,,,,,,13,297,,2,,,,Walton County
,,,,,,,,,,,,,
580,,,,,,,,,,,,,"Auburn-Opelika, AL MSA"
580,,,,,,1,81,,1,,,,Lee County
,,,,,,,,,,,,,
600,,,,,,,,,,,,,"Augusta-Aiken, GA-SC MSA"
600,,,,,,13,73,,1,,,,"Columbia County, GA"
600,,,,,,13,189,,2,,,,"McDuffie County, GA"
600,,,,,,13,245,,1,,,,"Richmond County, GA"
600,,,,,,45,3,,1,,,,"Aiken County, SC"
600,,,,,,45,37,,2,,,,"Edgefield County, SC"
,,,,,,,,,,,,,
640,,,,,,,,,,,,,"Austin-San Marcos, TX MSA"
640,,,,,,48,21,,2,,,,Bastrop County
640,,,,,,48,55,,2,,,,Caldwell County
640,,,,,,48,209,,2,,,,Hays County
640,,,,,,48,453,,1,,,,Travis County
640,,,,,,48,491,,2,,,,Williamson County
,,,,,,,,,,,,,
680,,,,,,,,,,,,,"Bakersfield, CA MSA"
680,,,,,,6,29,,1,,,,Kern County
,,,,,,,,,,,,,
730,,,,,,,,,,,,,"Bangor, ME MSA"
730,,,,,,23,19,,,,,,Penobscot County (pt.)
730,,,,,,23,19,,1,,2795,,Bangor city
730,,,,,,23,19,,1,,6925,,Brewer city
730,,,,,,23,19,,2,,22535,,Eddington town
730,,,,,,23,19,,2,,27645,,Glenburn town
730,,,,,,23,19,,2,,30795,,Hampden town
730,,,,,,23,19,,2,,32510,,Hermon town
730,,,,,,23,19,,2,,33490,,Holden town
730,,,,,,23,19,,2,,36325,,Kenduskeag town
730,,,,,,23,19,,2,,45670,,Milford town
730,,,,,,23,19,,1,,55225,,Old Town city
730,,,,,,23,19,,1,,55565,,Orono town
730,,,,,,23,19,,2,,55680,,Orrington town
730,,,,,,23,19,,2,,57937,,Penobscot Indian Island Indian Reservation
730,,,,,,23,19,,1,,78780,,Veazie town
730,,,,,,23,27,,,,,,Waldo County (pt.)
730,,,,,,23,27,,2,,86760,,Winterport town
,,,,,,,,,,,,,
740,,,,,,,,,,,,,"Barnstable-Yarmouth, MA MSA"
740,,,,,,25,1,,,,,,Barnstable County (pt.)
740,,,,,,25,1,,1,,3600,,Barnstable Town city
740,,,,,,25,1,,2,,7980,,Brewster town
740,,,,,,25,1,,2,,12995,,Chatham town
740,,,,,,25,1,,1,,16775,,Dennis town
740,,,,,,25,1,,2,,19295,,Eastham town
740,,,,,,25,1,,2,,29020,,Harwich town
740,,,,,,25,1,,2,,39100,,Mashpee town
740,,,,,,25,1,,2,,51440,,Orleans town
740,,,,,,25,1,,2,,59735,,Sandwich town
740,,,,,,25,1,,1,,82525,,Yarmouth town
,,,,,,,,,,,,,
760,,,,,,,,,,,,,"Baton Rouge, LA MSA"
760,,,,,,22,5,,2,,,,Ascension Parish
760,,,,,,22,33,,1,,,,East Baton Rouge Parish
760,,,,,,22,63,,2,,,,Livingston Parish
760,,,,,,22,121,,2,,,,West Baton Rouge Parish
,,,,,,,,,,,,,
840,,,,,,,,,,,,,"Beaumont-Port Arthur, TX MSA"
840,,,,,,48,199,,2,,,,Hardin County
840,,,,,,48,245,,1,,,,Jefferson County
840,,,,,,48,361,,2,,,,Orange County
,,,,,,,,,,,,,
860,,,,,,,,,,,,,"Bellingham, WA MSA"
860,,,,,,53,73,,1,,,,Whatcom County
,,,,,,,,,,,,,
870,,,,,,,,,,,,,"Benton Harbor, MI MSA"
870,,,,,,26,21,,1,,,,Berrien County
,,,,,,,,,,,,,
880,,,,,,,,,,,,,"Billings, MT MSA"
880,,,,,,30,111,,1,,,,Yellowstone County
,,,,,,,,,,,,,
920,,,,,,,,,,,,,"Biloxi-Gulfport-Pascagoula, MS MSA"
920,,,,,,28,45,,2,,,,Hancock County
920,,,,,,28,47,,1,,,,Harrison County
920,,,,,,28,59,,1,,,,Jackson County
,,,,,,,,,,,,,
960,,,,,,,,,,,,,"Binghamton, NY MSA"
960,,,,,,36,7,,1,,,,Broome County
960,,,,,,36,107,,2,,,,Tioga County
,,,,,,,,,,,,,
1000,,,,,,,,,,,,,"Birmingham, AL MSA"
1000,,,,,,1,9,,2,,,,Blount County
1000,,,,,,1,73,,1,,,,Jefferson County
1000,,,,,,1,115,,2,,,,St. Clair County
1000,,,,,,1,117,,1,,,,Shelby County
,,,,,,,,,,,,,
1010,,,,,,,,,,,,,"Bismarck, ND MSA"
1010,,,,,,38,15,,1,,,,Burleigh County
1010,,,,,,38,59,,1,,,,Morton County
,,,,,,,,,,,,,
1020,,,,,,,,,,,,,"Bloomington, IN MSA"
1020,,,,,,18,105,,1,,,,Monroe County
,,,,,,,,,,,,,
1040,,,,,,,,,,,,,"Bloomington-Normal, IL MSA"
1040,,,,,,17,113,,1,,,,McLean County
,,,,,,,,,,,,,
1080,,,,,,,,,,,,,"Boise City, ID MSA"
1080,,,,,,16,1,,1,,,,Ada County
1080,,,,,,16,27,,2,,,,Canyon County
,,,,,,,,,,,,,
1122,,,,7,,,,,,,,,"Boston-Worcester-Lawrence, MA-NH-ME-CT CMSA"
1122,,1120,,7,,,,,,,,,"Boston, MA-NH PMSA"
1122,,1120,,7,,25,5,,,,,,"Bristol County, MA (pt.)"
1122,,1120,,7,,25,5,,2,,5280,,Berkley town
1122,,1120,,7,,25,5,,2,,16950,,Dighton town
1122,,1120,,7,,25,5,,1,,38225,,Mansfield town
1122,,1120,,7,,25,5,,2,,49970,,Norton town
1122,,1120,,7,,25,5,,1,,69170,,Taunton city
1122,,1120,,7,,25,9,,,,,,"Essex County, MA (pt.)"
